,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,4.794942903518677,2.7428444161773275,0.7494610786437989,0.019485679425046778,0.1,"(6,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'filter__n': 2}",0.7606715119254785,0.7606715119254785,0.7607493857493858,0.7607493857493858,0.7607493857493858,0.7607182343065395,3.8150617075777736e-05,253,0.7607299157986334,0.7607299157986334,0.760710446844449,0.760710446844449,0.760710446844449,0.7607182344261227,9.537800715463598e-06
1,4.824595642089844,0.47823024874281184,0.768124008178711,0.039026877449616124,0.1,"(6,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'filter__n': 5}",0.8018220902855973,0.8255706827720339,0.8063063063063063,0.8121416871416871,0.8067158067158067,0.8105114450677695,0.008210364459252176,237,0.8103549765822947,0.8270672843139764,0.8079029533705278,0.8067768848850898,0.8072119567999181,0.8118628111903614,0.007702300111902551
2,4.719025564193726,0.4363847503281638,0.7500968933105469,0.013962214465146358,0.1,"(6,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'filter__n': 10}",0.8464530658204524,0.8449175964786569,0.8499180999181,0.8463349713349714,0.8473587223587223,0.8469964374923222,0.001656601497809832,186,0.8490005886417731,0.8461597522585929,0.8461125044786815,0.8468546859804473,0.8478783846035727,0.8472011831926135,0.0011032970381554574
3,4.914003944396972,0.7290328903813417,0.7351747512817383,0.015052760616773192,0.1,"(6,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'filter__n': 20}",0.8479885351622479,0.8489098167673252,0.8525798525798526,0.8520679770679771,0.8526822276822277,0.8508455837189304,0.001989247306752427,160,0.8526348117625983,0.8517390525426766,0.853099247581512,0.852126733889543,0.8515381071812459,0.8522275905915151,0.0005744290840340379
4,6.1634115219116214,0.830928910359338,0.7506101608276368,0.05623221667340412,0.1,"(6,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'filter__n': 30}",0.8479885351622479,0.8498310983724024,0.8557534807534808,0.8527846027846028,0.8551392301392301,0.8522992506449367,0.002996914631006204,103,0.8542727714790265,0.8553732756635016,0.8540973537390593,0.8564774530378256,0.8553001996212315,0.8551042107081288,0.0008604248076612285
5,5.876731967926025,0.6386256446063889,0.7348296642303467,0.012542801302988047,0.1,"(6,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'filter__n': 40}",0.8526973078104207,0.8502405568635479,0.8573914823914824,0.854013104013104,0.8575962325962326,0.8543876172146923,0.0028112050543190282,25,0.8585980088552198,0.8561410692805774,0.8570916722117009,0.8574755591953729,0.8581409633004043,0.8574894545686551,0.0008520472996041208
6,4.9210367679595945,0.4221122927001971,0.7320104122161866,0.025356776303322472,0.1,"(6,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'filter__n': 50}",0.8540280479066434,0.8547446002661481,0.8572891072891073,0.8518632268632269,0.8549344799344799,0.8545718848532001,0.0017422171020784639,21,0.8591098712666035,0.8587259744580656,0.8559911961918412,0.8562215283820444,0.8553513845523878,0.8570799909701885,0.001532330766668841
7,6.607904577255249,0.8126404089914117,0.7251812934875488,0.029621983611853,0.1,"(6,)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'filter__n': 60}",0.8532091309243526,0.8535162247927116,0.8572891072891073,0.8565724815724816,0.8541154791154791,0.8549404201302158,0.001666500773586922,9,0.860645458500755,0.8598008855219716,0.8587295900087014,0.8608281721861084,0.8604186927368582,0.8600845597908788,0.0007610027311544491
8,3.32136492729187,0.0540425542602139,0.753502368927002,0.059727968269347544,0.1,"(3,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'filter__n': 2}",0.7606715119254785,0.7606715119254785,0.7607493857493858,0.7607493857493858,0.7607493857493858,0.7607182343065395,3.8150617075777736e-05,253,0.7607299157986334,0.7607299157986334,0.760710446844449,0.760710446844449,0.760710446844449,0.7607182344261227,9.537800715463598e-06
9,4.359689807891845,0.8805220043018044,0.7605479240417481,0.03486412011854269,0.1,"(3,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'filter__n': 5}",0.7984440577336472,0.8182004299314157,0.8006756756756757,0.7986281736281736,0.7951474201474201,0.8022194013349166,0.008184782297832972,249,0.7994011209786809,0.8229211987817675,0.8001740287659314,0.7972308952244459,0.7973588575523366,0.8034172202606324,0.009818624127904168
