,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.12893333435058593,0.006570308902766678,0.0029834747314453126,0.00397043548556642,0.1,"(8,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 2}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,123,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
1,0.2599837303161621,0.037362083119196525,0.0,0.0,0.1,"(8,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 3}",0.7806122448979592,0.7836734693877551,0.7775510204081633,0.7834525025536262,0.7824310520939735,0.7815434871376072,0.0022707681153630514,275,0.7789688616641144,0.7827973455844819,0.7792240939254722,0.7833631028323552,0.7836182699668283,0.7815943347946503,0.0020583119224221063
2,0.3069761276245117,0.030468251167754826,0.0,0.0,0.1,"(8,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 4}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,123,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
3,0.417468786239624,0.07186441241867407,0.00040736198425292967,0.0008068791712453007,0.1,"(8,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 5}",0.7836734693877551,0.786734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7841976316864027,0.0012726966779899632,95,0.7830525778458397,0.7753956100051046,0.7827973455844819,0.7836182699668283,0.7836182699668283,0.7816964146738166,0.0031666519362578177
4,0.43931970596313474,0.029615365788083034,0.0017251014709472657,0.0015475039883820671,0.1,"(8,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 6}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,123,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
5,0.6839366436004639,0.14695300938835207,0.0010089874267578125,0.0012757907067269536,0.1,"(8,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 7}",0.8051020408163265,0.7795918367346939,0.7836734693877551,0.7885597548518897,0.7538304392236976,0.782155982033483,0.01660389098761192,269,0.7988769780500256,0.7787136294027565,0.7835630423685553,0.7815769328910437,0.7626945649400357,0.7810850295304834,0.011547888768793289
6,0.5739683151245117,0.09866253382638576,0.0014008522033691407,0.0018565432966168246,0.1,"(8,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 8}",0.7816326530612245,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7885597548518897,0.7841976316864027,0.0023109677472518434,95,0.7827973455844819,0.7835630423685553,0.7833078101071975,0.7831079356978821,0.8058178106659862,0.7877187888848206,0.009052978775951594
7,0.6714964866638183,0.07895305783934962,0.002456188201904297,0.0039683478994078656,0.1,"(8,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 9}",0.8030612244897959,0.7795918367346939,0.7836734693877551,0.7752808988764045,0.7466802860061287,0.77766435279706,0.01816704251372708,315,0.8016845329249617,0.7838182746299133,0.7835630423685553,0.7996937994386323,0.7912732840010207,0.7920065866726167,0.0076372182253065125
8,0.9408189296722412,0.09769150192920832,0.002819728851318359,0.003514180153877522,0.1,"(8,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 15}",0.789795918367347,0.7887755102040817,0.7826530612244897,0.7477017364657814,0.7732379979570991,0.7764393630053082,0.01552370255668971,324,0.7856049004594181,0.7845839714139867,0.7833078101071975,0.7693289104363358,0.7759632559326359,0.7797577696699148,0.00621680606528123
9,1.2290711402893066,0.06972177065324053,0.002416658401489258,0.003895520212250508,0.1,"(8,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 20}",0.7918367346938775,0.7948979591836735,0.7836734693877551,0.7834525025536262,0.763023493360572,0.7833809718252348,0.011121942983888685,219,0.7789688616641144,0.8009188361408882,0.7835630423685553,0.7836182699668283,0.7555498851747895,0.780523779063035,0.014566293232402295
