,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.17006640434265136,0.01516785470951106,0.0009990692138671874,0.0019981384277343744,0.1,"(8,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'gmm__n_components': 2}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,48,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
1,0.2941248416900635,0.024748297329417843,0.0,0.0,0.1,"(8,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'gmm__n_components': 3}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,48,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
2,0.2625268459320068,0.027258176723712474,0.0018276691436767579,0.002255234811838718,0.1,"(8,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'gmm__n_components': 4}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,48,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
3,0.2824243068695068,0.06995957694675688,0.0023068904876708983,0.002450593301859776,0.1,"(8,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'gmm__n_components': 5}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,48,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
4,0.3139366626739502,0.07704806194090935,0.002996015548706055,0.0024462469101424996,0.1,"(8,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'gmm__n_components': 6}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,48,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
5,0.4457385063171387,0.049062054653365515,0.004259634017944336,0.0021891687171137564,0.1,"(8,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'gmm__n_components': 7}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,48,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
6,0.40934300422668457,0.08845743387315068,0.003023242950439453,0.002468569419124516,0.1,"(8,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'gmm__n_components': 8}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,48,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
7,0.44571480751037595,0.06521637833354595,0.003000211715698242,0.002449662668258857,0.1,"(8,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'gmm__n_components': 9}",0.7836734693877551,0.7795918367346939,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7827684769293589,0.001591795458089066,315,0.7835630423685553,0.7825421133231241,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7833809475987782,0.0004201437290086222
8,0.8869540214538574,0.1329274682518866,0.0028996944427490236,0.0023736485821107224,0.1,"(8,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'gmm__n_components': 15}",0.7836734693877551,0.7887755102040817,0.7836734693877551,0.7834525025536262,0.7763023493360572,0.7831768068599428,0.003978869428306577,299,0.7835630423685553,0.8006636038795304,0.7835630423685553,0.7836182699668283,0.8027558050523093,0.7908327527271557,0.008905626873201471
9,1.0090508460998535,0.11590171183027885,0.0029992580413818358,0.002448884893988672,0.1,"(8,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'gmm__n_components': 20}",0.7836734693877551,0.7795918367346939,0.7887755102040817,0.7722165474974464,0.7752808988764045,0.7799101674152715,0.005890136327590513,340,0.7835630423685553,0.7825421133231241,0.7812659520163349,0.7800459300842052,0.782852768563409,0.7820539612711257,0.0012495486471503256
